source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
404,Trumpler 28,,17 37.0,-32 29,17 37.0 -32 29,0.13,1343,6.89
405,ESO 139-13,,17 37.7,-58 08,17 37.7 -58 08,0.08,1500,8.78
406,Collinder 338,,17 38.1,-37 43,17 38.1 -37 43,0.26,880,8.65
407,NGC 6400,,17 40.2,-36 57,17 40.2 -36 57,0.21,950,8.78
408,NGC 6405,M 6,17 40.3,-32 12,17 40.3 -32 12,0.4,487,7.91
409,Trumpler 29,Harvard 17,17 41.5,-40 09,17 41.5 -40 09,0.18,760,8.69
410,Alessi 9,,17 43.9,-47 11,17 43.9 -47 11,1.4,195,8.42
411,NGC 6416,,17 44.3,-32 22,17 44.3 -32 22,0.22,741,8.78
412,IC 4665,,17 46.3,+05 43,17 46.3 +05 43,1,352,7.63
413,NGC 6425,,17 47.0,-31 32,17 47.0 -31 32,0.13,778,8.34
414,Collinder 350,,17 48.1,+01 21,17 48.1 +01 21,0.55,280,8.61
415,Ruprecht 131,,17 49.3,-29 15,17 49.3 -29 15,0.11,600,9.17
416,NGC 6444,,17 49.6,-34 49,17 49.6 -34 49,0.17,560,9
417,Basel 5,,17 52.4,-30 06,17 52.4 -30 06,0.15,766,8.54
418,Sco OB5,,17 52.6,-38 38,17 52.6 -38 38,0.58,3310,6.86
419,NGC 6469,,17 53.2,-22 19,17 53.2 -22 19,0.15,550,8.36
420,NGC 6475,M 7,17 53.8,-34 47,17 53.8 -34 47,1.2,300,8.22
421,Trumpler 30,,17 56.8,-35 16,17 56.8 -35 16,0.13,1000,8.31
422,NGC 6494,M 23,17 57.1,-18 59,17 57.1 -18 59,0.58,628,8.52
423,Collinder 359,Melotte 186,18 00.7,+02 56,18 00.7 +02 56,1.1,640,7.45
424,Ruprecht 139,,18 01.0,-23 32,18 01.0 -23 32,0.13,550,9.05
425,NGC 6514,,18 02.7,-22 58,18 02.7 -22 58,0.23,816,7.28
426,NGC 6520,,18 03.4,-27 53,18 03.4 -27 53,0.11,1577,7.75
427,NGC 6531,M 21,18 04.2,-22 29,18 04.2 -22 29,0.3,1205,6.82
428,NGC 6530,,18 04.5,-24 22,18 04.5 -24 22,0.25,1322,6.67
429,NGC 6546,,18 07.6,-23 20,18 07.6 -23 20,0.2,938,8.72
430,vdBergh 113,,18 08.9,-21 25,18 08.9 -21 25,0.23,3470,7.5
431,ESO 521-38,,18 09.4,-24 32,18 09.4 -24 32,0.09,1800,8.1
432,Collinder 367,,18 09.7,-23 40,18 09.7 -23 40,0.4,1200,6.84
433,NGC 6561,,18 10.5,-16 44,18 10.5 -16 44,0.18,3400,6.92
434,NGC 6568,,18 12.7,-21 36,18 12.7 -21 36,0.22,1000,8.71
435,Sgr OB7,,18 14.9,-20 24,18 14.9 -20 24,0.9,1860,6.64
436,Markarian 38,,18 15.5,-19 00,18 15.5 -19 00,0.14,1545,6.95
437,NGC 6596,,18 17.5,-16 39,18 17.5 -16 39,0.17,1100,8.6
438,Dias 5,,18 17.6,-19 40,18 17.6 -19 40,0.12,1760,7.14
439,NGC 6604,,18 18.1,-12 14,18 18.1 -12 14,0.26,1696,6.64
440,NGC 6603,M 24,18 18.4,-18 26,18 18.4 -18 26,0.12,2880,7.8
441,NGC 6611,M 16,18 18.8,-13 49,18 18.8 -13 49,0.22,1719,6.72
442,Alessi 19,,18 19.1,+12 11,18 19.1 +12 11,0.75,550,8.05
443,NGC 6613,M 18,18 20.0,-17 06,18 20.0 -17 06,0.18,1296,7.52
444,NGC 6618,M 17,18 20.6,-16 11,18 20.6 -16 11,0.3,1814,6.78
445,Trumpler 33,,18 24.7,-19 43,18 24.7 -19 43,0.12,1755,7.84
446,NGC 6633,,18 27.2,+06 31,18 27.2 +06 31,0.51,385,8.76
447,NGC 6639,,18 31.0,-13 09,18 31.0 -13 09,0.18,700,8.86
448,Ruprecht 141,,18 31.3,-12 19,18 31.3 -12 19,0.11,5500,6.92
449,IC 4725,M 25,18 31.7,-19 07,18 31.7 -19 07,0.6,620,7.83
450,IC 4756,,18 38.9,+05 27,18 38.9 +05 27,1,484,8.79
451,NGC 6694,M 26,18 45.3,-09 23,18 45.3 -09 23,0.12,1582,8.3
452,Ruprecht 145,,18 50.6,-18 13,18 50.6 -18 13,0.37,770,8.64
453,NGC 6705,M 11,18 51.1,-06 16,18 51.1 -06 16,0.19,1877,8.07
454,NGC 6709,,18 51.3,+10 19,18 51.3 +10 19,0.22,1075,8.14
455,Collinder 394,,18 52.4,-20 12,18 52.4 -20 12,0.43,703,7.86
456,Stephenson 1,,18 54.0,+36 49,18 54.0 +36 49,0.87,373,7.69
457,NGC 6716,,18 54.5,-19 54,18 54.5 -19 54,0.14,789,7.47
458,NGC 6728,,18 58.7,-08 58,18 58.7 -08 58,0.13,1000,8.93
459,NGC 6738,,19 01.3,+11 37,19 01.3 +11 37,0.12,700,9.16
460,Ruprecht 147,,19 16.7,-16 18,19 16.7 -16 18,1.23,175,9.39
461,NGC 6793,,19 23.2,+22 08,19 23.2 +22 08,0.15,1100,8.64
462,NGC 6800,,19 27.1,+25 08,19 27.1 +25 08,0.13,1000,8.59
463,Stock 1,,19 35.8,+25 13,19 35.8 +25 13,0.4,350,8.53
464,NGC 6811,,19 37.3,+46 23,19 37.3 +46 23,0.3,1240,8.76
465,NGC 6823,,19 43.1,+23 18,19 43.1 +23 18,0.27,1893,7.01
466,Turner 9,,19 44.8,+29 16,19 44.8 +29 16,0.8,852,8.06
467,Roslund 1,,19 45.0,+17 31,19 45.0 +17 31,0.15,670,8.47
468,Roslund 2,,19 45.4,+23 55,19 45.4 +23 55,0.23,2000,6.89
469,NGC 6828,,19 50.3,+07 54,19 50.3 +07 54,0.18,600,8.56
470,NGC 6830,,19 51.0,+23 06,19 51.0 +23 06,0.17,1639,7.52
471,Roslund 3,,19 58.7,+20 29,19 58.7 +20 29,0.2,1515,7.61
472,Dolidze 36,,20 02.4,+42 09,20 02.4 +42 09,0.17,900,8.83
473,NGC 6866,,20 03.9,+44 10,20 03.9 +44 10,0.14,1450,8.68
474,Alessi 10,,20 04.7,-10 29,20 04.7 -10 29,0.17,513,8.71
475,Dolidze 38,,20 05.6,+41 12,20 05.6 +41 12,0.2,1200,8.95
476,NGC 6871,,20 06.0,+35 47,20 06.0 +35 47,0.23,1574,6.99
477,Biurakan 1,,20 07.5,+35 42,20 07.5 +35 42,0.22,1600,7.25
478,Biurakan 2,,20 09.2,+35 29,20 09.2 +35 29,0.18,1106,7.14
479,Roslund 5,,20 10.4,+33 48,20 10.4 +33 48,0.54,418,7.77
480,NGC 6883,,20 11.3,+35 50,20 11.3 +35 50,0.16,1380,7.53
481,Ruprecht 172,,20 11.6,+35 36,20 11.6 +35 36,0.16,1100,8.91
482,NGC 6882,,20 11.8,+26 49,20 11.8 +26 49,0.11,342,8.16
483,IC 4996,,20 16.5,+37 38,20 16.5 +37 38,0.16,1732,6.8
484,Collinder 419,,20 18.0,+40 43,20 18.0 +40 43,0.25,740,6.85
485,Berkeley 86,,20 20.4,+38 42,20 20.4 +38 42,0.13,1112,6.96
486,NGC 6910,,20 23.2,+40 47,20 23.2 +40 47,0.17,1139,7.33
487,Collinder 421,,20 23.3,+41 42,20 23.3 +41 42,0.12,950,9.06
488,NGC 6913,M 29,20 23.9,+38 31,20 23.9 +38 31,0.11,1148,7.12
489,Roslund 6,,20 28.8,+39 16,20 28.8 +39 16,0.27,450,8.47
490,Cyg OB2,,20 33.2,+41 19,20 33.2 +41 19,0.6,1500,6.72
491,NGC 6940,,20 34.4,+28 17,20 34.4 +28 17,0.5,770,8.94
492,Alessi 12,,20 43.5,+23 47,20 43.5 +23 47,0.5,537,7.9
493,Roslund 7,,20 52.4,+37 54,20 52.4 +37 54,0.43,700,8.67
494,NGC 6991,,20 54.5,+47 27,20 54.5 +47 27,0.42,700,9.11
495,NGC 7039,,21 10.8,+45 37,21 10.8 +45 37,0.28,951,8.83
496,NGC 7058,,21 21.9,+50 49,21 21.9 +50 49,0.08,400,8.35
497,NGC 7063,,21 24.4,+36 29,21 24.4 +36 29,0.26,689,8.08
498,NGC 7082,,21 29.0,+47 08,21 29.0 +47 08,0.35,1442,7.91
499,NGC 7092,M 39,21 31.8,+48 27,21 31.8 +48 27,0.88,311,8.57
500,IC 1396,Trumpler 37,21 38.9,+57 29,21 38.9 +57 29,0.65,835,6.69
501,NGC 7160,,21 53.6,+62 36,21 53.6 +62 36,0.23,794,7.66
502,NGC 7209,,22 05.3,+46 29,22 05.3 +46 29,0.25,1167,8.65
503,NGC 7235,,22 12.4,+57 16,22 12.4 +57 16,0.08,2823,6.76
504,NGC 7243,,22 15.1,+49 54,22 15.1 +49 54,0.52,808,8.09
505,IC 1442,,22 16.5,+54 03,22 16.5 +54 03,0.16,2346,7.71
506,Pismis-Moreno 1,,22 18.8,+63 16,22 18.8 +63 16,0.16,900,7.55
507,NGC 7281,,22 25.3,+57 49,22 25.3 +57 49,0.2,1620,7.86
508,NGC 7380,,22 47.1,+58 07,22 47.1 +58 07,0.25,2222,6.72
509,NGC 7438,,22 57.4,+54 20,22 57.4 +54 20,0.23,600,8.93
510,Cep OB3,,23 04.2,+63 24,23 04.2 +63 24,1,700,7.44
511,NGC 7510,,23 11.0,+60 34,23 11.0 +60 34,0.09,2075,7.22
512,NGC 7654,M 52,23 24.8,+61 35,23 24.8 +61 35,0.17,1421,7.84
513,Czernik 43,,23 25.8,+61 19,23 25.8 +61 19,0.17,2500,7.7
514,Stock 12,,23 35.6,+52 41,23 35.6 +52 41,0.37,400,8.45
515,Aveni-Hunter 1,,23 37.8,+48 31,23 37.8 +48 31,0.5,500,8.26
516,King 12,,23 53.0,+61 58,23 53.0 +61 58,0.16,2378,7.12
517,NGC 7788,,23 56.8,+61 24,23 56.8 +61 24,0.12,2374,7.48
518,NGC 7789,,23 57.2,+56 43,23 57.2 +56 43,0.27,2337,9.23
519,Frolov 1,,23 57.4,+61 38,23 57.4 +61 38,0.15,2560,7.66
520,NGC 7790,,23 58.4,+61 13,23 58.4 +61 13,0.1,2944,7.91
