source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
172,NGC 2483,,07 55.6,-27 54,07 55.6 -27 54,0.14,1659,7.49
173,Trumpler 9,,07 55.7,-25 53,07 55.7 -25 53,0.1,2289,7.99
174,NGC 2489,,07 56.3,-30 04,07 56.3 -30 04,0.11,3700,7.25
175,NGC 2516,,07 58.1,-60 45,07 58.1 -60 45,0.7,346,8.08
176,Ruprecht 44,,07 58.9,-28 35,07 58.9 -28 35,0.14,4655,7.33
177,Ruprecht 43,,07 59.3,-28 54,07 59.3 -28 54,0.15,1300,8.47
178,NGC 2506,,08 00.0,-10 46,08 00.0 -10 46,0.2,3460,9.05
179,Ruprecht 47,,08 02.3,-31 04,08 02.3 -31 04,0.15,3006,8.07
180,NGC 2527,,08 05.0,-28 09,08 05.0 -28 09,0.5,601,8.85
181,ESO 430-18,,08 06.8,-30 50,08 06.8 -30 50,0.2,830,9.05
182,Vel OB2,,08 09.5,-47 54,08 09.5 -47 54,1.2,411,7.26
183,NGC 2547,,08 10.1,-49 13,08 10.1 -49 13,0.3,457,7.7
184,NGC 2539,,08 10.7,-12 50,08 10.7 -12 50,0.5,1363,8.75
185,Ruprecht 53,,08 10.8,-27 00,08 10.8 -27 00,0.18,1700,8.59
186,NGC 2546,,08 11.9,-37 37,08 11.9 -37 37,0.61,919,7.92
187,Ruprecht 55,,08 12.5,-32 35,08 12.5 -32 35,0.2,4892,6.97
188,Ruprecht 56,,08 12.5,-40 28,08 12.5 -40 28,0.36,410,8.7
189,NGC 2548,,08 13.7,-05 45,08 13.7 -05 45,0.73,769,8.75
190,vdBergh-Hagen 23,,08 14.1,-36 22,08 14.1 -36 22,0.32,437,7.14
191,Haffner 26,,08 15.7,-30 50,08 15.7 -30 50,0.1,1000,7.47
192,NGC 2567,,08 18.5,-30 38,08 18.5 -30 38,0.17,1677,8.64
193,NGC 2571,,08 19.0,-29 45,08 19.0 -29 45,0.3,1339,7.22
194,Collinder 185,,08 23.3,-36 20,08 23.3 -36 20,0.14,1486,8.18
195,vdBergh-Hagen 34,,08 31.3,-44 30,08 31.3 -44 30,0.25,950,8.48
196,Pismis 4,,08 34.6,-44 29,08 34.6 -44 29,0.4,593,8.11
197,NGC 2627,,08 37.3,-29 57,08 37.3 -29 57,0.13,2034,8.71
