source_number|name|alt_name|ra|dec|cluster_radius|distance|log_age
478|Biurakan 2||20 09.2|+35 29|0.18|1106|7.14
481|Ruprecht 172||20 11.6|+35 36|0.16|1100|8.91
477|Biurakan 1||20 07.5|+35 42|0.22|1600|7.25
476|NGC 6871||20 06.0|+35 47|0.23|1574|6.99
71|NGC 1912|M 38|05 28.7|+35 50|0.41|1066|8.56
480|NGC 6883||20 11.3|+35 50|0.16|1380|7.53
497|NGC 7063||21 24.4|+36 29|0.26|689|8.08
456|Stephenson 1||18 54.0|+36 49|0.87|373|7.69
62|NGC 1778||05 08.0|+37 01|0.18|1454|8.18
45|NGC 1342||03 31.6|+37 20|0.25|665|8.21
483|IC 4996||20 16.5|+37 38|0.16|1732|6.8
81|Stock 10||05 39.0|+37 56|0.32|380|8.42
488|NGC 6913|M 29|20 23.9|+38 31|0.11|1148|7.12
485|Berkeley 86||20 20.4|+38 42|0.13|1112|6.96
489|Roslund 6||20 28.8|+39 16|0.27|450|8.47
484|Collinder 419||20 18.0|+40 43|0.25|740|6.85
486|NGC 6910||20 23.2|+40 47|0.17|1139|7.33
111|NGC 2281||06 48.3|+41 05|0.43|558|8.7
475|Dolidze 38||20 05.6|+41 12|0.2|1200|8.95
490|Cyg OB2||20 33.2|+41 19|0.6|1500|6.72
487|Collinder 421||20 23.3|+41 42|0.12|950|9.06
472|Dolidze 36||20 02.4|+42 09|0.17|900|8.83
36|NGC 1039|M 34|02 42.1|+42 46|0.37|499|8.42
58|Berkeley 14A||05 00.4|+43 29|0.74|1100|6.97
57|NGC 1664||04 51.2|+43 40|0.33|1199|8.72
52|NGC 1582||04 31.6|+43 48|0.48|600|8.6
473|NGC 6866||20 03.9|+44 10|0.14|1450|8.68
495|NGC 7039||21 10.8|+45 37|0.28|951|8.83
464|NGC 6811||19 37.3|+46 23|0.3|1240|8.76
502|NGC 7209||22 05.3|+46 29|0.25|1167|8.65
498|NGC 7082||21 29.0|+47 08|0.35|1442|7.91
494|NGC 6991||20 54.5|+47 27|0.42|700|9.11
499|NGC 7092|M 39|21 31.8|+48 27|0.88|311|8.57
515|Aveni-Hunter 1||23 37.8|+48 31|0.5|500|8.26
42|Melotte 20|alpha Per|03 26.0|+49 07|6.25|190|7.55
13|Alessi 1||00 53.5|+49 34|0.45|800|8.85
504|NGC 7243||22 15.1|+49 54|0.52|808|8.09
51|NGC 1545||04 20.9|+50 15|0.21|711|8.15
496|NGC 7058||21 21.9|+50 49|0.08|400|8.35
50|NGC 1528||04 15.4|+51 13|0.44|776|8.43
514|Stock 12||23 35.6|+52 41|0.37|400|8.45
59|NGC 1708||05 03.4|+52 51|0.21|600|8.76
505|IC 1442||22 16.5|+54 03|0.16|2346|7.71
509|NGC 7438||22 57.4|+54 20|0.23|600|8.93
55|Alessi 2||04 46.3|+55 14|0.28|501|8.6
26|NGC 744||01 58.6|+55 28|0.2|1207|8.41
35|Trumpler 2||02 36.9|+55 55|0.5|649|7.93
43|King 6||03 28.1|+56 27|0.11|450|8.41
12|IC 1590|NGC 281|00 52.8|+56 38|0.11|2384|6.84
518|NGC 7789||23 57.2|+56 43|0.27|2337|9.23
24|Stock 4||01 53.0|+57 04|0.21|1200|8.7
30|NGC 884|chi Per|02 22.0|+57 08|1.75|2345|7.1
29|NGC 869|h Per|02 19.1|+57 09|1.75|2079|7.28
503|NGC 7235||22 12.4|+57 16|0.08|2823|6.76
500|IC 1396|Trumpler 37|21 38.9|+57 29|0.65|835|6.69
34|NGC 957||02 33.4|+57 34|0.22|1815|6.84
507|NGC 7281||22 25.3|+57 49|0.2|1620|7.86
7|Stock 21||00 29.8|+57 55|0.14|1100|8.72
508|NGC 7380||22 47.1|+58 07|0.25|2222|6.72
17|NGC 457||01 19.6|+58 18|0.26|2429|7.38
4|Alessi 20||00 10.6|+58 46|0.3|450|8.22
48|Tombaugh 5||03 47.8|+59 03|0.18|1000|8.73
28|Stock 2||02 14.4|+59 16|2.8|380|8.17
41|Stock 23||03 16.2|+60 03|0.18|380|7.51
16|NGC 433||01 15.2|+60 08|0.12|2000|7.65
8|NGC 129||00 30.0|+60 13|0.27|1625|7.87
39|Collinder 33||02 59.3|+60 24|0.36|1000|8.36
38|IC 1848||02 51.2|+60 26|0.34|2002|6.65
511|NGC 7510||23 11.0|+60 34|0.09|2075|7.22
18|NGC 581|M 103|01 33.4|+60 39|0.12|2194|7.44
21|NGC 659||01 44.4|+60 40|0.1|1938|7.8
32|Stock 7|Markarian 6|02 29.6|+60 43|0.18|698|7.13
1|Berkeley 58||00 00.1|+60 58|0.11|3715|8.2
520|NGC 7790||23 58.4|+61 13|0.1|2944|7.91
22|NGC 663||01 46.1|+61 14|0.3|1952|7.14
513|Czernik 43||23 25.8|+61 19|0.17|2500|7.7
517|NGC 7788||23 56.8|+61 24|0.12|2374|7.48
33|IC 1805||02 32.7|+61 27|0.22|1886|6.73
512|NGC 7654|M 52|23 24.8|+61 35|0.17|1421|7.84
14|NGC 381||01 08.3|+61 36|0.1|1058|8.77
37|NGC 1027||02 42.7|+61 38|0.24|772|8.55
519|Frolov 1||23 57.4|+61 38|0.15|2560|7.66
5|Mayer 1||00 21.9|+61 44|0.2|1429|7.74
10|NGC 225||00 43.7|+61 47|0.2|657|8.19
20|NGC 654||01 44.0|+61 53|0.11|2041|7.3
516|King 12||23 53.0|+61 58|0.16|2378|7.12
49|NGC 1502||04 07.9|+62 20|0.21|821|6.8
501|NGC 7160||21 53.6|+62 36|0.23|794|7.66
6|Stock 20||00 25.3|+62 37|0.16|909|8.53
40|Trumpler 3|Harvard 1|03 11.8|+63 11|0.5|450|8.34
506|Pismis-Moreno 1||22 18.8|+63 16|0.16|900|7.55
9|NGC 146||00 33.1|+63 18|0.13|3032|7.37
510|Cep OB3||23 04.2|+63 24|1|700|7.44
31|NGC 886||02 23.5|+63 46|0.15|1700|8.48
19|NGC 637||01 43.1|+64 02|0.1|2160|7.21
27|Stock 5||02 04.5|+64 22|0.23|1100|7.73
11|Berkeley 4||00 45.5|+64 24|0.2|3200|7.08
2|Berkeley 59||00 02.2|+67 25|0.17|1000|6.8
53|Platais 3||04 35.4|+71 35|2.5|200|8.7
23|Collinder 463||01 46.9|+71 48|0.72|702|8.35
