h_no,target_name,target_ra_dec,target_radius,split_cmd,abundant_stars,striped_cmd,OOI,notes
89,NGC 6397,17 40 42.09 -53 40 27.6,2.90,1,1,,,
90,Pal 6,17 43 42.2 -26 13 21,1.20,1,,,,
91,NGC 6426,17 44 54.65 +03 10 12.5,0.92,1,,,,
92,Djorg 1,17 47 28.3 -33 03 56,1.59,1,,,,
93,Terzan 5,17 48 04.80 -24 46 45,0.72,1,,,,
94,NGC 6440,17 48 52.70 -20 21 36.9,0.48,1,,,,
95,NGC 6441,17 50 13.06 -37 03 05.2,0.57,1,1,,,
96,Terzan 6,17 50 46.38 -31 16 31.4,0.44,,,,,
97,NGC 6453,17 50 51.70 -34 35 57.0,0.44,1,,,,
98,UKS 1,17 54 27.2 -24 08 43,,1,,,,
99,NGC 6496,17 59 03.68 -44 15 57.4,1.02,1,1,,,
100,Terzan 9,18 01 38.8 -26 50 23,0.78,1,,,,
101,Djorg 2,18 01 49.1 -27 49 33,1.05,1,1,,,
102,NGC 6517,18 01 50.52 -08 57 31.6,0.50,,,,,
103,Terzan 10,18 03 36.4 -26 04 21,1.55,1,1,1,,
104,NGC 6522,18 03 34.02 -30 02 02.3,1.00,1,1,,,
105,NGC 6535,18 03 50.51 -00 17 51.5,0.85,1,,,,
106,NGC 6528,18 04 49.64 -30 03 22.6,0.38,1,,,,
107,NGC 6539,18 04 49.68 -07 35 09.1,1.70,1,1,,,
108,NGC 6540,18 06 08.6 -27 45 55,,1,1,,,
109,NGC 6544,18 07 20.58 -24 59 50.4,1.21,1,1,1,,
110,NGC 6541,18 08 02.36 -43 42 53.6,1.06,1,1,,,
111,2MS-GC01,18 08 21.81 -19 49 47,1.65,1,1,1,,
112,ESO-SC06,18 09 06.0 -46 25 23,1.05,1,,,,
113,NGC 6553,18 09 17.60 -25 54 31.3,1.03,1,1,1,,
114,2MS-GC02,18 09 36.50 -20 46 44,0.55,,,,,
115,NGC 6558,18 10 17.60 -31 45 50.0,2.15,1,1,,,
116,IC 1276,18 10 44.20 -07 12 27.4,2.38,1,1,,,
117,Terzan 12,18 12 15.8 -22 44 31,0.75,1,,1,,
118,NGC 6569,18 13 38.80 -31 49 36.8,0.80,1,1,,,
119,BH 261,18 14 06.6 -28 38 06,0.55,1,1,,,
120,GLIMPSE02,18 18 30.5 -16 58 38,,0,,,,
121,NGC 6584,18 18 37.60 -52 12 56.8,0.73,1,,,,
122,NGC 6624,18 23 40.51 -30 21 39.7,0.82,1,1,,,
123,NGC 6626,18 24 32.81 -24 52 11.2,1.97,1,1,,,
124,NGC 6638,18 30 56.10 -25 29 50.9,0.51,1,,,,
125,NGC 6637,18 31 23.10 -32 20 53.1,0.84,1,1,,,
